Latitude,Longitude,Month,Day,Year,Total pieces/km^2,Micro,Macro,Total Weight,micro,macro,Source,Info,Mesh Size,Count/km^2 .335-.999 mm,Count/km^2 1.00-4.75 mm,Count/km^2 4.75-200 mm,Count/km^2 >200 mm,total/km^2,g/km^2 .335-.999 mm,g/km^2 1.00-4.75 mm,g/km^2 4.75-200 mm,g/km^2 >200 mm,Sea State (Beaufort Scale),INFO
-19.8139,115.9477,8,22,2012,496.65,0.00,496.65,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,496.65,0,496.65,,,,,4,Solander/Trip 5597
-20.3848,115.1297,8,22,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5597
-20.3983,115.1164,8,22,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Solander/Trip 5597
-21.2024,115.4726,9,2,2013,587.30,0.00,587.30,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,587.3,0,587.30,,,,,4,Solander/Trip 5866
-19.9509,117.1017,9,3,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,3,Solander/Trip 5866
-15.1943,123.3441,9,5,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,2,Solander/Trip 5866
-14.2914,124.7811,9,5,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,2,Solander/Trip 5866
-14.275,124.8004,9,5,2013,783.97,0.00,783.97,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,783.97,0,783.97,,,,,2,Solander/Trip 5866
-13.7412,127.6131,9,7,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,2,Solander/Trip 5866
-13.7361,127.6277,9,7,2013,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,2,Solander/Trip 5866
