Latitude ,Longitude ,Month,Day,Year,#/km2,Microplastics #/km^2,Macroplastics # /km^2,Total Wieght (g)/km^2,Microplastics Weight (g)/ km^2,Macroplastics Weight (g) /km^2,Source,Notes,Mesh Size,Conc
24.07,-58.13,10,23,1991,2700,,,,,,SEA Education,Not adjusted,333um,24.07-58.13102319912700SEA EducationNot adjusted333um
24.07,-58.13,10,23,1991,2700,,,,,,SEA Education,Not adjusted,333um,24.07-58.13102319912700SEA EducationNot adjusted333um
22.05,-58.63,10,25,1991,0,,,,,,SEA Education,Not adjusted,333um,22.05-58.63102519910SEA EducationNot adjusted333um
22.05,-58.63,10,25,1991,0,,,,,,SEA Education,Not adjusted,333um,22.05-58.63102519910SEA EducationNot adjusted333um
13.12,-61.53,11,12,1991,0,,,,,,SEA Education,Not adjusted,333um,13.12-61.53111219910SEA EducationNot adjusted333um
13.12,-61.53,11,12,1991,0,,,,,,SEA Education,Not adjusted,333um,13.12-61.53111219910SEA EducationNot adjusted333um
16.92,-62.7,11,15,1991,0,,,,,,SEA Education,Not adjusted,333um,16.92-62.7111519910SEA EducationNot adjusted333um
16.92,-62.7,11,15,1991,0,,,,,,SEA Education,Not adjusted,333um,16.92-62.7111519910SEA EducationNot adjusted333um
18.17,-64.72,11,28,1991,0,,,,,,SEA Education,Not adjusted,333um,18.17-64.72112819910SEA EducationNot adjusted333um
18.17,-64.72,11,28,1991,0,,,,,,SEA Education,Not adjusted,333um,18.17-64.72112819910SEA EducationNot adjusted333um
18.23,-64.58,11,28,1991,0,,,,,,SEA Education,Not adjusted,333um,18.23-64.58112819910SEA EducationNot adjusted333um
18.23,-64.58,11,28,1991,0,,,,,,SEA Education,Not adjusted,333um,18.23-64.58112819910SEA EducationNot adjusted333um
17.84,-65,11,28,1991,0,,,,,,SEA Education,Not adjusted,333um,17.84-65112819910SEA EducationNot adjusted333um
17.84,-65,11,28,1991,0,,,,,,SEA Education,Not adjusted,333um,17.84-65112819910SEA EducationNot adjusted333um
15.87,-63.85,11,30,1991,0,,,,,,SEA Education,Not adjusted,333um,15.87-63.85113019910SEA EducationNot adjusted333um
15.87,-63.85,11,30,1991,0,,,,,,SEA Education,Not adjusted,333um,15.87-63.85113019910SEA EducationNot adjusted333um
15.2,-63.7,11,30,1991,1080,,,,,,SEA Education,Not adjusted,333um,15.2-63.7113019911080SEA EducationNot adjusted333um
15.2,-63.7,11,30,1991,1080,,,,,,SEA Education,Not adjusted,333um,15.2-63.7113019911080SEA EducationNot adjusted333um
15.22,-64.37,11,30,1991,0,,,,,,SEA Education,Not adjusted,333um,15.22-64.37113019910SEA EducationNot adjusted333um
15.22,-64.37,11,30,1991,0,,,,,,SEA Education,Not adjusted,333um,15.22-64.37113019910SEA EducationNot adjusted333um
