"","Day","Month","Year","Latitude","Longitude","X..km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Microplastics...km.2","Macroplastics....km.2","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","v10Mps"
"49",15,10,1972,35,-165.055,33970.5882352941,462,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",15,10,1972,35,-162.637,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",15,10,1972,35,-160.219,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",15,10,1972,35,-157.582,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",15,10,1972,35,-155.055,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",15,10,1972,35,-152.857,21102.9411764706,287,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",15,10,1972,35,-150.44,11617.6470588235,158,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",15,10,1972,35,-147.912,74411.7647058824,1012,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",15,10,1972,35,-145.385,30735.2941176471,418,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",15,10,1972,35,-142.857,276691.176470588,3763,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",15,10,1972,35,-140.22,135955.882352941,1849,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",15,10,1972,35,-137.692,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",15,10,1972,35,-135.275,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",15,10,1972,35,-132.857,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",15,10,1972,35,-130.33,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
